archive,path,temperature_c,pressure_bar,ramp,status,invalid_reason,support_distance,supported,fusion,score_60000,energy_score_60000,confirmed_60000,score_120000,energy_score_120000,confirmed_120000,score_180000,energy_score_180000,confirmed_180000,score_260000,energy_score_260000,confirmed_260000,score_300000,energy_score_300000,confirmed_300000
irreversible,T49_Irreversible_Damage/25-06-17_08-32-19_GW_ID_T49_500bar.h5,49,500,descending,complete,,0.5816665938021339,True,alarm,0.25763977744749617,0.10266639292240143,False,0.5285466739109584,0.20731127049241746,True,0.7667705033506665,0.20026859853948867,True,0.7103357527937207,0.38378047730241505,False,0.7298410385847092,0.3772712286029543,True
irreversible,T49_Irreversible_Damage/25-06-17_08-38-37_GW_ID_T49_450bar.h5,49,450,descending,complete,,0.5907407610804563,True,alarm,0.26260982560259954,0.10013185228620257,False,0.5305777202759471,0.20117494676794326,True,0.7777392715215683,0.2046342875276293,True,0.7189904366220746,0.36925081482955385,False,0.7291280818837029,0.36860576272010803,True
irreversible,T49_Irreversible_Damage/25-06-17_08-45-31_GW_ID_T49_400bar.h5,49,400,descending,complete,,0.5464107103971584,True,alarm,0.2744251218225275,0.09619657908167158,False,0.5476242271917207,0.18866226715700968,True,0.7875714557511466,0.21160110192639486,True,0.7157589473894664,0.354017762201173,False,0.7173491716384888,0.35509397302355084,True
irreversible,T49_Irreversible_Damage/25-06-17_08-57-49_GW_ID_T49_350bar.h5,49,350,descending,complete,,0.5397164064902413,True,alarm,0.2921743776117052,0.10187749990395137,False,0.5556061502013888,0.2116277047566005,True,0.7875694717679705,0.2104135219539915,True,0.7204676994255611,0.3693881354161671,False,0.7108777995620456,0.3686158337763378,True
irreversible,T49_Irreversible_Damage/25-06-17_09-04-16_GW_ID_T49_300bar.h5,49,300,descending,complete,,0.5527423089777874,True,alarm,0.3436202417526926,0.09450283220836095,True,0.6052240665469851,0.18972871133259364,True,0.8017484843730927,0.21517205238342285,True,0.7573538443871907,0.32814642574105946,False,0.6865832188299724,0.34176199563911985,True
irreversible,T49_Irreversible_Damage/25-06-17_09-10-52_GW_ID_T49_250bar.h5,49,250,descending,complete,,0.5400809310108295,True,alarm,0.31591242126056124,0.08763168326445989,True,0.5980475076607296,0.18411984401089804,True,0.8137970055852618,0.21188417077064514,True,0.7968016862869263,0.28666444974286215,False,0.6751054887260709,0.29536647881780353,True
irreversible,T49_Irreversible_Damage/25-06-17_09-17-16_GW_ID_T49_200bar.h5,49,200,descending,complete,,0.5391060773036043,True,alarm,0.31947983907801764,0.09157462205205645,True,0.5810159593820572,0.17864330325807845,True,0.8075740848268781,0.22268882819584437,True,0.8379391857555935,0.25856336525508333,False,0.6987694863762174,0.27734106140477316,True
irreversible,T49_Irreversible_Damage/25-06-17_09-23-34_GW_ID_T49_150bar.h5,49,150,descending,complete,,0.542517344402839,True,alarm,0.3321566124047552,0.09166969784668513,True,0.6061907772506986,0.18831332666533335,True,0.8061281442642212,0.24637978417532785,True,0.9201403898852212,0.21084189414978027,True,0.7628168272120612,0.20494335889816284,True
irreversible,T49_Irreversible_Damage/25-06-17_09-29-52_GW_ID_T49_100bar.h5,49,100,descending,complete,,0.571395252950468,True,alarm,0.355609692633152,0.1166907570191792,True,0.6002535798719951,0.21051771087305887,True,0.7689880771296365,0.23430979464735305,True,0.9515013077429363,0.2034470843417304,True,0.8100152292421886,0.1583249888249806,True
irreversible,T49_Irreversible_Damage/25-06-17_09-36-49_GW_ID_T49_50bar.h5,49,50,descending,complete,,0.5780675689461175,True,alarm,0.38419317241225925,0.11649353802204132,True,0.5227298119238445,0.17181441826479776,True,0.7617350220680237,0.2571786769798824,True,0.9595705909388406,0.20934921290193284,True,0.8365619246448789,0.19344988678182876,True
